Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
9/25/2020,17,9186,0,213
9/26/2020,21,9207,0,213
9/27/2020,14,9221,0,213
9/28/2020,19,9240,1,214
9/29/2020,13,9253,1,215
9/30/2020,17,9270,0,215
10/1/2020,14,9284,0,215
10/2/2020,15,9299,0,215
10/3/2020,13,9312,0,215
10/4/2020,15,9327,0,215
10/5/2020,10,9337,0,215
10/6/2020,6,9343,0,215
10/7/2020,16,9359,0,215
10/8/2020,14,9373,0,215
10/9/2020,14,9387,1,216
10/10/2020,16,9403,1,217
10/11/2020,17,9420,2,219
10/12/2020,25,9445,1,220
10/13/2020,15,9460,0,220
10/14/2020,23,9483,0,220
10/15/2020,17,9500,0,220
10/16/2020,19,9519,0,220
10/17/2020,19,9538,1,221
10/18/2020,6,9544,0,221
10/19/2020,22,9566,0,221
10/20/2020,22,9588,0,221
10/21/2020,15,9603,2,223
10/22/2020,16,9619,0,223
10/23/2020,21,9640,1,224
10/24/2020,26,9666,0,224
10/25/2020,16,9682,0,224
10/26/2020,21,9703,0,224
10/27/2020,12,9715,0,224
